"filename", "language", "Properties", "JSON", "Python", "TypeScript", "JSON with Comments", "Markdown", "Vue", "XML", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\join-room.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\min-max-validate.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\random.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\required-validate.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\server-enum.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\str.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\type.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\views\GameView.vue", "Vue", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 8, 98
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\views\HelpView.vue", "Vue", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 31, 232
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\views\LoginView.vue", "Vue", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 15, 126
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\tsconfig.app.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\tsconfig.node.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\vite.config.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\last-gpt.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\package-lock.json", "JSON", 0, 4221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4222
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 16, 89
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 2, 17
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game-data\game-config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 1, 135
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\game-logic.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 793, 61, 91, 945
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\gpt-gen.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 40, 26, 201
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\base.md", "Markdown", 0, 0, 0, 0, 0, 539, 0, 0, 0, 0, 0, 0, 95, 634
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\change-input.md", "Markdown", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 17, 66
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\evaluate.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\machine.md", "Markdown", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 31, 215
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\synthesis.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\test.json", "JSON", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\room-manager.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 8, 25, 184
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\gpt-config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\mid.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\model.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 287, 8, 21, 316
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\public\stylesheets\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\routes\game.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 474, 122, 64, 660
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\routes\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 10
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\routes\users.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 13, 34, 209
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\scripts\init-db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 6, 36
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\test\mgame.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 1, 25, 111
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\test\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\test\user.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 26, 148
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\uitls.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 9, 73
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\weitiao\main.py", "Python", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 88
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\weitiao\model.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\weitiao\test.py", "Python", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 38
"c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\weitiao\testi.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 2, 7391, 105, 1212, 11, 789, 1465, 4, 23, 13, 2569, 323, 949, 14856
