Date : 2025-03-23 11:25:16
Directory : c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory
Total : 77 files,  13584 codes, 323 comments, 949 blanks, all 14856 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\game\gameSlot.vue     | Vue                |         71 |          0 |          8 |         79 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\joinRoom.vue          | Vue                |         66 |          0 |          8 |         74 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\components\mainGame.vue          | Vue                |         62 |          5 |          8 |         75 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\composables\useDraggable.ts      | TypeScript         |        117 |          3 |         18 |        138 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\composables\useMouseUpdate.ts    | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\composables\useZoomable.ts       | TypeScript         |         32 |          0 |          7 |         39 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\game\game.ts                     | TypeScript         |        316 |         18 |         65 |        399 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\main.ts                          | TypeScript         |         24 |          0 |          8 |         32 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\router\index.ts                  | TypeScript         |         52 |          0 |          5 |         57 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\stores\game.ts                   | TypeScript         |        426 |         12 |         59 |        497 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\stores\user.ts                   | TypeScript         |         39 |          0 |          8 |         47 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\axios.ts                   | TypeScript         |         60 |          1 |          7 |         68 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\join-room.ts               | TypeScript         |         23 |          0 |          7 |         30 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\min-max-validate.ts        | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\random.ts                  | TypeScript         |          9 |          0 |          0 |          9 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\required-validate.ts       | TypeScript         |          1 |          0 |          2 |          3 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\server-enum.ts             | TypeScript         |         44 |          0 |          6 |         50 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\str.ts                     | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\utils\type.ts                    | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\views\GameView.vue               | Vue                |         90 |          0 |          8 |         98 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\views\HelpView.vue               | Vue                |         28 |          0 |          1 |         29 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\views\HomeView.vue               | Vue                |        201 |          0 |         31 |        232 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\src\views\LoginView.vue              | Vue                |        111 |          0 |         15 |        126 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\tsconfig.app.json                    | JSON               |         11 |          0 |          2 |         13 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\tsconfig.json                        | JSON with Comments |         11 |          0 |          1 |         12 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\tsconfig.node.json                   | JSON               |         20 |          0 |          0 |         20 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\client\vite.config.ts                       | TypeScript         |         18 |          2 |          3 |         23 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\last-gpt.json                               | JSON               |         53 |          0 |          0 |         53 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\package-lock.json                    | JSON               |      4,221 |          0 |          1 |      4,222 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\package.json                         | JSON               |         40 |          0 |          1 |         41 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\app.js                           | JavaScript         |         73 |          0 |         16 |         89 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\config.js                        | JavaScript         |         14 |          1 |          2 |         17 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game-data\game-config.js         | JavaScript         |        134 |          0 |          1 |        135 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\game-logic.js               | JavaScript         |        793 |         61 |         91 |        945 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\gpt-gen.js                  | JavaScript         |        135 |         40 |         26 |        201 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\base.md              | Markdown           |        539 |          0 |         95 |        634 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\change-input.md      | Markdown           |         49 |          0 |         17 |         66 |
